Timestamp,Campus Energy Centre Campus HW Main Meter Flow
2021-04-01T07:35:32-07:00 Los_Angeles,200L/s
2021-04-01T07:36:53-07:00 Los_Angeles,205L/s
2021-04-01T07:37:53-07:00 Los_Angeles,200L/s
2021-04-01T07:38:53-07:00 Los_Angeles,205L/s
2021-04-01T07:39:54-07:00 Los_Angeles,200L/s
2021-04-01T07:40:00-07:00 Los_Angeles,200L/s
2021-04-01T07:41:00-07:00 Los_Angeles,205L/s
2021-04-01T07:42:00-07:00 Los_Angeles,200L/s
2021-04-01T07:43:06-07:00 Los_Angeles,195L/s
2021-04-01T07:44:06-07:00 Los_Angeles,200L/s
2021-04-01T07:45:06-07:00 Los_Angeles,195L/s
2021-04-01T07:47:23-07:00 Los_Angeles,190L/s
2021-04-01T07:48:24-07:00 Los_Angeles,195L/s
2021-04-01T07:49:24-07:00 Los_Angeles,190L/s
2021-04-01T07:50:00-07:00 Los_Angeles,190L/s
2021-04-01T07:51:00-07:00 Los_Angeles,195L/s
2021-04-01T07:52:26-07:00 Los_Angeles,190L/s
2021-04-01T07:53:57-07:00 Los_Angeles,195L/s
2021-04-01T07:54:57-07:00 Los_Angeles,190L/s
2021-04-01T07:55:57-07:00 Los_Angeles,195L/s
2021-04-01T07:57:09-07:00 Los_Angeles,190L/s
2021-04-01T07:58:09-07:00 Los_Angeles,200.8333282470703L/s
2021-04-01T07:59:09-07:00 Los_Angeles,195L/s
2021-04-01T08:00:00-07:00 Los_Angeles,200L/s
2021-04-01T08:01:01-07:00 Los_Angeles,195L/s
2021-04-01T08:02:01-07:00 Los_Angeles,200L/s
2021-04-01T08:03:01-07:00 Los_Angeles,195L/s
2021-04-01T08:04:03-07:00 Los_Angeles,200L/s
2021-04-01T08:05:03-07:00 Los_Angeles,195L/s
2021-04-01T08:06:03-07:00 Los_Angeles,190L/s
2021-04-01T08:07:03-07:00 Los_Angeles,195L/s
